WORK ORDER;PN;Descrição;SN;Operator;Exchange Order Number;R.S. In;Week0;Month0;Year0;R.S. Out;SegVoo;Week 1;Month1;Year1;STATUS;TAIL;DATE OF REMOVAL;Reason for removal;Work done;QUANTITY BGA SOLDER;Item used on repair;TAT;REASON FOR DELAY;WO FINISHED?(Y/N);RETURN TO AZUL;MONTH;YEAR;MONTH.SEGVOO;YEAR.SEGVOO;DUAL
7004;LV10-080408-102;DSB;CBHB001024;AZUL;;06/11/2018;45;11;2018;20/09/2019;;38;9;2019;DETECTED BGA SOLDERING PROCESS PROBLEMS. STUDING NEW PROCESS IN ORDER TO OVERCOME THE SOLDERING DEVIATION.;PR-AZD;19/10/2019;BLACK SCREEN ;BER (REPLACED U68 FLASH MEMORY);1;RC28F128J3F-75;318,49;PROCESS IFE;Y;20/09/2019;9;2019;;YEAR.SEGVOO;NÃO
7005;LV10-080408-102;DSB;CBHB001898;AZUL;;06/11/2018;45;11;2018;01/07/2019;01/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7005/19 REPLACED U68 FLASH MEMORY;PR-AYR;19/10/2019;BLACK SCREEN ;REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;238,67;INTERNAL PROCESS;Y;02/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
7056;LV10-070702-102;DSCD;CBBB000320;AZUL;;04/12/2018;49;12;2018;14/01/2019;14/01/2019;3;1;2019;SEGVOO003 ISSUED AS 7056/19 FUNCTIONAL TEST DONE, OK.;PR-AXC;15/11/2018;LIVETV INOP;POWER SUPPLY REPLACED;0;LV14-070801-101;44,58;MATERIAL;Y;17/01/2019;1;2019;1;YEAR.SEGVOO;NÃO
7392;LV10-070702-102;DSCD;CBBB000357;AZUL;;06/05/2019;19;5;2019;23/05/2019;23/05/2019;21;5;2019;SEGVOO003 ISSUED AS 7392/19 FUNCTIONAL TEST DONE, OK.;PR-AYG;06/04/2019;LIVE TV IS INOPERATIVE;REPLACED CDP CCA;0;LV20-070802-101;30,58;MATERIAL;Y;05/06/2019;6;2019;5;YEAR.SEGVOO;NÃO
7446;LV10-070702-102;DSCD;CBBB000363;AZUL;;13/05/2019;20;5;2019;29/05/2019;29/05/2019;22;5;2019;SEGVOO003 ISSUED AS 7446/19 REPLACED THE PARTS DAMAGED, DONE THE FINAL TEST.;;07/07/2016;CAME FROM STOCK (NONE AIRCRAFT INSTALLED);REPLACED CHASSIS;0;LV14-070802-102;23,58;OTHER;Y;05/06/2019;6;2019;5;YEAR.SEGVOO;NÃO
7463;LV10-080408-102;DSB;CBHB001450;AZUL;;05/06/2019;23;6;2019;03/07/2019;03/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7463/19 REPLACED U68 FLASH MEMORY;PR-AYN;22/04/2019;SEAT INOPERATIVE;REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;30,63;MÃO DE OBRA;Y;05/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
7466;LV10-070702-102;DSCD;CBBB000358;AZUL;;05/06/2019;23;6;2019;24/06/2019;24/06/2019;26;6;2019;SEGVOO003 ISSUED AS 7466/19 FINAL TEST DONE NO FAULTS REPORTED. CLEANED THE CDP CCA CONECTORS AND REPOSITIONED THE CARD. ;PR-AYX;03/04/2019;LIVE TV INOPERATIVE;FINAL TEST DONE NO FAULTS REPORTED. CLEANED THE CDP CCA CONECTORS AND REPOSITIONED THE CARD. ;0;-;22,00;;Y;27/06/2019;6;2019;6;YEAR.SEGVOO;NÃO
7467;LV10-080408-102;DSB;CBHB002338;AZUL;;05/06/2019;23;6;2019;01/07/2019;01/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7467/19 REPLACED U68 FLASH MEMORY;PR-AXA;19/04/2019;SEAT A INOPERATIVE;REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;27,67;OTHER;Y;02/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
7468;LV10-080408-102;DSB;CBHB000623;AZUL;;05/06/2019;23;6;2019;03/07/2019;03/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7468/19 REPLACED  U68 AND U42 FLASH MEMORIES;PR-AZG;01/05/2019;SEAT A INOPERATIVE;REPLACED  U68 AND U42 FLASH MEMORIES;2;RC28F128J3F-75;30,63;MÃO DE OBRA;Y;05/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
7469;LV10-080408-102;DSB;CBHB002549;AZUL;;05/06/2019;23;6;2019;04/07/2019;04/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7469/19 REPLACED U42 FLASH MEMORY;PR-AXG;30/04/2019;SEAT B BLACK SCREEN;REPLACED U42 FLASH MEMORY;1;RC28F128J3F-75;42,00;MÃO DE OBRA;Y;17/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
7470;LV10-080408-102;DSB;CBHB003492;AZUL;;07/06/2019;23;6;2019;03/07/2019;03/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7470/19 REPLACED U42 FLASH MEMORY;PR-AXW;25/05/2019;SEAT A BLACK SCREEN;REPLACED U42 FLASH MEMORY;1;RC28F128J3F-75;28,63;OTHER;Y;05/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
7471;LV10-080408-102;DSB;CBHB001948;AZUL;;07/06/2019;23;6;2019;03/07/2019;03/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7471/19 REPLACED U68 FLASH MEMORY;PR-AYW;20/05/2019;SEAT B BLACK SCREEN;REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;28,63;OTHER;Y;05/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
7472;LV10-080408-102;DSB;CBHB004143;AZUL;;07/06/2019;23;6;2019;18/09/2019;18/09/2019;38;9;2019;SEGVOO003 ISSUED AS 7472/19 REPLACED THE POWER SUPPLY;PR-AYW;20/05/2019;SEAT A AND B INOPERATIVE;POWER SUPPLY REPLACEMENT;0;LV52-070601-103 SN:TDC1727-10884;104,49;MATERIAL;Y;19/09/2019;9;2019;9;YEAR.SEGVOO;NÃO
7474;LV10-080408-102;DSB;CBHB001000;AZUL;;07/06/2019;23;6;2019;03/07/2019;03/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7474/19 REPLACED U42 FLASH MEMORY;PR-AYL;30/05/2019;SEAT A INOPERATIVE;REPLACED U42 FLASH MEMORY;1;RC28F128J3F-75;28,63;OTHER;Y;05/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
7476;LV10-080408-102;DSB;CBHB003609;AZUL;;07/06/2019;23;6;2019;25/06/2019;25/06/2019;26;6;2019;SEGVOO003 ISSUED AS 7476/19 SIM CARD CLEANED DONE THE FINAL TEST NO MORE FAULTS REPORTED.;PR-AUA;24/05/2019;SEAT B NO SIM CARD MESSAGE;SIM CARD CLEANED DONE THE FINAL TEST NO MORE FAULTS REPORTED.;0;-;20,00;OTHER;Y;27/06/2019;6;2019;6;YEAR.SEGVOO;NÃO
7477;LV10-080408-102;DSB;CBHB000563;AZUL;;07/06/2019;23;6;2019;03/07/2019;03/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7477/19 REPLACED U68 FLASH MEMORY;PR-AYL;15/05/2019;SEAT A BLACK SCREEN;REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;28,63;OTHER;Y;05/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
7478;LV10-070702-102;DSCD;CBBB000332;AZUL;;07/06/2019;23;6;2019;24/06/2019;24/06/2019;26;6;2019;SEGVOO3 ISSUED AS 7478/19 REPOSITIONED MTFE CARDS 2 AND 4. ;PR-AXU;16/05/2019;LIVETV INTERMITENT FAILURE;CLEANING AND REPOSITION : FINAL TEST DONE NO FAULTS REPORTED. REPOSITIONED MTFE CARDS 2 AND 4.;0;-;20,00;OTHER;Y;27/06/2019;6;2019;6;YEAR.SEGVOO;NÃO
7479;LV10-080408-102;DSB;CBHB002233;AZUL;;07/06/2019;23;6;2019;03/07/2019;03/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7479/19 REPLACED U42 FLASH MEMORY;PR-AXC;28/05/2019;SEAT A INOPERATIVE;REPLACED U42 FLASH MEMORY;1;RC28F128J3F-75;28,63;OTHER;Y;05/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
7480;LV10-080408-102;DSB;CBHB003883;AZUL;;07/06/2019;23;6;2019;15/09/2020;15/09/2020;38;9;2020;SEGVOO003 ISSUED AS 7480/20 REPLACED THE U42 FLASH MEMORY AND DONE THE MAC RESET.;PR-AUI;22/05/2019;SEAT A BLACK SCREEN;FLASH MEMORY REPLACEMENT;1;RC28F128J3F-75;474,00;;Y;23/09/2020;9;2020;9;YEAR.SEGVOO;NÃO
7481;LV10-080408-102;DSB;CBHB001014;AZUL;;07/06/2019;23;6;2019;03/07/2019;03/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7481/19 REPLACED U68 FLASH MEMORY;PR-AZE;15/05/2019;SEAT B INOPERATIVE;REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;28,00;OTHER;Y;05/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
7482;LV10-080408-102;DSB;CBHB000923;AZUL;;07/06/2019;23;6;2019;03/07/2019;03/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7482/19 REPLACED U42 FLASH MEMORY;PR-AZH;16/05/2019;SEAT A INOPERATIVE;REPLACED U42 FLASH MEMORY;1;RC28F128J3F-75;28,00;OTHER;Y;05/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
7483;LV10-080408-102;DSB;CBHB002125;AZUL;;05/06/2019;23;6;2019;03/07/2019;03/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7483/19 REPLACED U42 FLASH MEMORY;PR-AXD;08/05/2019;SEAT A BLACK SCREEN;REPLACED U42 FLASH MEMORY;1;RC28F128J3F-75;30,00;MÃO DE OBRA;Y;05/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
7484;LV10-080408-102;DSB;CBHB002190;AZUL;;07/06/2019;23;6;2019;03/07/2019;03/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7484/19 REPLACED U68 FLASH MEMORY;PR-AXE;05/05/2019;SEAT B INOPERATIVE;REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;28,00;OTHER;Y;05/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
7485;LV10-080408-102;DSB;CBHB002270;AZUL;;05/06/2019;23;6;2019;04/07/2019;04/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7485/19 REPLACED U42 FLASH MEMORY;PR-AXE;05/05/2019;SEAT A INOPERATIVE;REPLACED U42 FLASH MEMORY;1;RC28F128J3F-75;30,00;MÃO DE OBRA;Y;05/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
